x,Company Name,Website,scraped_text,Wikipedia_URL,CEO,Founder,Founded,Industry,Products,Headquarters,Revenue,Employees,Summary,company_type,is_relevant,is_fortification_potential,notes
1,Nestle,www.nestle.com,,https://en.wikipedia.org/wiki/Nestlé,Mark Schneider,Henri Nestlé,1866,Food and Beverage,"Infant formula, baby food, bottled water, coffee, tea, pet food, dairy products, ice cream, frozen foods, confectionery, and more","Vevey, Switzerland",CHF 87.1 billion (2021),"333,000 (2021)","Nestlé is a Swiss multinational food and beverage company headquartered in Vevey, Switzerland. It is the largest food company in the world, measured by revenue and other metrics. Nestlé's products include a wide range of food and beverage items, including infant formula, baby food, bottled water, coffee, tea, pet food, dairy products, ice cream, frozen foods, confectionery, and more.",,False,,
2,Dr. Reddy's Laboratories,www.drreddys.com,,https://en.wikipedia.org/wiki/Dr._Reddy's_Laboratories,Erez Israeli,Anji Reddy,1984,Pharmaceuticals,"Generic and branded pharmaceuticals, biosimilars, active pharmaceutical ingredients","Hyderabad, India",USD 2.6 billion (2022),"20,000","Dr. Reddy's Laboratories is a multinational pharmaceutical company headquartered in Hyderabad, India. It is one of the largest generic drug manufacturers in the world and also produces branded pharmaceuticals, biosimilars, and active pharmaceutical ingredients.",Manufacturer,False,,The website does not provide enough information to determine the relevance or fortification potential of the company.
3,Coca,colacompany.com,"

                    This domain may be for sale
             
        This webpage was generated by the domain owner using Sedo Domain Parking. Disclaimer: Sedo maintains no relationship with third party advertisers. Reference to any specific service or trade mark is not controlled by Sedo nor does it constitute or imply its association, endorsement or recommendation.
    ",https://en.wikipedia.org/wiki/Com,,,,,,,,,,,False,,
4,Pfizer,www.pfizer.com,"We're driving the breakthroughs of tomorrow while fighting against cancer today. The fight takes all of us. Start by answering a few questions to understand your own cancer risks at PfizerForAll.com. Get started  Nearly 41% of Americans will receive a cancer diagnosis during their lifetime. By understanding their risks, people can take action to help detect it early, when it's most treatable. We’re working with our partners at the American Cancer Society to make this easier than ever. Pfizer recognizes World Cancer Day by sharing personal stories from colleagues impacted by cancer. Each unique story unites us in our purpose – a world where people with cancer live better and longer lives. Nothing is more personal than our goal to outdo cancer. An evolution of the previous Purpose Blueprint, implemented in 2019, the Purpose Blueprint 2.0 consists of five “Core Business Principles” and 15 Big Ideas that will drive us in the years to come. Where people live shouldn’t impact the quality of their healthcare and income shouldn’t determine health outcomes. Explore how vaccinations and treatment with oral medication for those eligible are working to combat COVID-19. Pfizer consistently and diligently monitors the supply of our medicines. What is severe COVID-19? Learn about severe COVID-19 and its symptoms and risk factors Resources and answers to frequently asked questions. El Dr. Santiago López informa en temas relacionados a la atención médica tales como vacunas, noticias falsas, y ensayos clínicos.   Science  
   Oncology
   Inflammation & Immunology
   Vaccines
   Rare Disease
   Internal Medicine
   Anti Infectives
   Shop and share the collection. All profits from The Pfizer Store will be donated to charity.   Receive the latest news from Pfizer in our monthly The Breakthrough newsletter and email alerts on a variety of topics. © 2025 Pfizer Inc. All rights reserved This information—including product information—is intended only for residents of the United States. The products discussed herein may have different labeling in different countries.  ",https://en.wikipedia.org/wiki/Pfizer,Albert Bourla,Charles Pfizer and Charles Erhart,1849,Pharmaceuticals,"['Lipitor', 'Celebrex', 'Viagra', 'Lyrica', 'Prevnar 13', 'Xeljanz', 'Ibrance', 'Eliquis', 'Xtandi', 'Inlyta']","New York City, New York, U.S.",$81.258 billion (2021),"79,000 (2021)",Pfizer is an American multinational pharmaceutical and biotechnology corporation headquartered in New York City. It is one of the world's largest pharmaceutical companies.,Manufacturer,True,,"Pfizer is a biopharmaceutical company that focuses on research and development of medicines. It is not an F&B company, so fortification potential is not applicable."
5,PepsiCo,www.pepsico.com,"PepsiCo completes acquisition PepsiCo Q4/Full-Year Earnings PepsiCo to acquire Lay's® brings back iconic Gatorade launches Hear from the creative teams behind spots from Doritos, Lay’s and Mountain Dew to learn why these brand stories made it to the big game. PepsiCo and the PepsiCo Foundation are working alongside local and national organizations to support associates and their families in the affected areas, delivering vital resources to people and communities in need.  Learn how PepsiCo’s investment in soil health supports more sustainable farming and a stronger food system. Make today special Explore recipes featuring your favorite products PepsiCo Positive Building a stronger, more sustainable future  At PepsiCo, opportunity is for everyone  At PepsiCo, opportunity is for everyone  What's inside matters  What's inside matters Hungry? Our Brands Discover more about our products, their nutrition information and where to buy. Find your favorite 1-Atoms/icons/arrow/right@3x




 Snacks straight to your door Stock up on your faves Only the best for our partners Social Stay connected 
                                                NFL star quarterback @joshallenqb is committed to championing the next generation of farmers and agricultural leaders highlighted in @lays recent Super Bowl LIX...
                                             
                                                PepsiCo associates created millions more smiles for Super Bowl LIX.
                                             
                                                Every Super Bowl party has these fans. 🏈 Which one are you and what all are you bringing to the party? 👇
                                             
                                                Here's to another historic Super Bowl Sunday, KC fans! 🏈 Which of these fans is coming to your party? 👇
                                             
                                                Watching the Super Bowl with Philly fans? Absolute cinema.🍿🏈 Send this to all the Philly fans you know.
                                             
                                                From a Chimichurri vs. Falafel showdown with Sabra and Guy Fieri to a ‘Cajun eats x Pepsi beats’ food festival, here’s our ultimate Super Bowl LIX showdown.
                                             Become a part of our talent community. PepsiCo Foundation Driven by the passion to do more An unparalleled portfolio, best-in-class service and in-depth consumer insights give our partners a competitive advantage.",https://en.wikipedia.org/wiki/PepsiCo,,,,,,,,,Error in JSON Conversion.,Brand,True,,PepsiCo is a well-known F&B brand with a wide product portfolio.
6,Johnson & Johnson,www.jnj.com," Listening... Sorry, I don't understand. Please try again  This site is governed solely by applicable U.S. laws and governmental regulations. Please see our Privacy Policy. Use of this site constitutes your consent to application of such laws and regulations and to our Privacy Policy. Your use of the information on this site is subject to the terms of our Legal Notice. Cookie Policy. You should view the News section and the most recent SEC Filings in the Investor section in order to receive the most current information made available by Johnson & Johnson Services, Inc. Contact us with any questions or search this site for more information. Do Not Sell or Share My Personal InformationLimit the Use of My Sensitive Personal Information © 2025 Johnson & Johnson Services, Inc.",https://en.wikipedia.org/wiki/Johnson_&_Johnson,Joaquin Duato,"Robert Wood Johnson I, James Wood Johnson, Edward Mead Johnson",1886,"Pharmaceuticals, Consumer healthcare, Medical devices","Band-Aid, Listerine, Tylenol, Johnson's Baby, Neutrogena, Aveeno","New Brunswick, New Jersey, United States",$93.8 billion (2021),"134,000 (2021)","Johnson & Johnson is an American multinational corporation that develops medical devices, pharmaceuticals, and consumer packaged goods. It is the world's largest healthcare company by revenue and one of the world's most valuable companies.",Manufacturer,False,,"Johnson & Johnson is a manufacturer that focuses on healthcare and medical devices. It does not mention food or beverage products or fortification, so it is not relevant to the analysis."
7,Danone,www.danone.com," Explore Press Investors Our mission Scroll to discover Newsroom Our journey From our first yogurts in pharmacies, we have certainly come a long way in over 100 years. Our products, ranging from yogurts and plant-based products, to waters, and specialized nutrition products, are now part of everyday life in millions of households. We're proud to be present in over 120 countries around the world, making healthy eating and drinking accessible to as many people as possible. 91% of products sold belong to healthy categories 120+ our products are sold in over 120 countries 89,000 Danoners around the world in 2023 CONTRIBUTING TO
A HEALTHIER WORLD Business Careers Maud Freynet
Laboratory Quality Technician for La Salvetat Impact As part of our Renew Danone strategy, we have developed a sustainability roadmap based on three interconnected pillars: Health, Nature, and People & Communities. For each of these pillars, the company has set new priorities and objectives for the future, focusing on the areas where Danone can bring the most value. Research and Innovation Autorisez le dépôt de cookies pour accéder à cette fonctionnalité. Follow us on: About us Our other websites Change language Would you like to change website?",https://en.wikipedia.org/wiki/Danone,Antoine de Saint-Affrique,Isaac Carasso,1919,Food and beverage,"Dairy products, plant-based products, early life nutrition, medical nutrition, and waters","Paris, France",€24.3 billion (2021),"100,000","Danone is a French multinational food-products corporation headquartered in Paris. It is the world's largest dairy company and a major producer of plant-based foods, early life nutrition, and medical nutrition.",F&B,True,True,"Danone is a leading F&B company with a presence in over 120 countries. The company's product portfolio includes dairy products, plant-based products, waters, and specialized nutrition products. Danone has a strong focus on health and nutrition, and its products are sold in over 120 countries. The company's commitment to health and nutrition, as well as its fortification potential, makes it a relevant company for the food and beverage fortification industry."
8,Bayer,www.bayer.com,,https://en.wikipedia.org/wiki/Bayer,Werner Baumann,"Friedrich Bayer, Johann Friedrich Weskott",1863,"Pharmaceuticals, Chemicals, Crop Science","Aspirin, Advil, Aleve, Xarelto, Eylea, Glucobay, Kogenate, Levitra, Mirena, Nexavar, Stivarga, Xofigo, Avelox, Cipro, Levaquin","Leverkusen, Germany",€44.1 billion (2021),"100,263 (2021)","Bayer is a German multinational pharmaceutical and life sciences company and one of the largest pharmaceutical companies in the world. Headquartered in Leverkusen, Germany, it is a global enterprise with core competencies in the fields of health care, nutrition, and high-tech materials.",,False,,
9,General Mills,www.generalmills.com,"Ever wonder what goes into and stands behind the food we make? Explore how our purpose-driven way of doing business impacts people, communities, and the planet.  From pets to parents and everyone in-between, we make food the world loves. Explore a variety of snacks and meals that bring joy to families everywhere.   Discover how we put our best food forward when it comes to making our products. Our goodness spans variety, deliciousness and, of course, kindness. Get a taste of General Mills by digging into our latest news and stories. And the ones you have yet to meet. Get the latest on company and brand news, financial performance, sustainability reports and more. Explore more about our brands and our process. What is General Mills allergen labeling policy? Do you use GMO ingredients in your products? Contact us online or by phone 
1-800-248-7310   General Mills Inc. All Rights Reserved | An Equal Opportunity Employer",https://en.wikipedia.org/wiki/General_Mills,Jeff Harmening,"Cadwallader Washburn, John Crosby",1866,Food Processing,"Cereals, snacks, baking mixes, yogurt, ice cream","Golden Valley, Minnesota, United States",$18.1 billion (2022),"35,000","General Mills is an American multinational manufacturer and marketer of branded consumer foods sold through retail stores. Headquartered in Golden Valley, Minnesota, the company was founded in 1866 and is one of the world's largest food companies.",F&B,True,,General Mills is a U.S. based food company. Food fortification is not mentioned on its website.
10,GlaxoSmithKline (GSK),www.gsk.com,"Switch to dark mode to head towards a more sustainable world together. More info Switch to dark mode to head towards a more sustainable world together. More info Scientific advances have helped reduce meningitis rates across the world – but the need for awareness and innovation regarding prevention strategies continues. Here, one teenage patient tells her story – and what she wants others like her to know about the disease. Our R&D focus is on four therapeutic areas: respiratory, immunology and inflammation; oncology; HIV;  infectious diseases Behind the science Life at GSK With our innovation, scale and global partnerships, working with us presents a unique opportunity to impact the lives of billions. Hear what Zack has to say To get ahead of disease together, continuous growth and development are vital. At GSK you'll expand your skills and build valuable connections, enabling you to do your best work. Hear what Sarah and Martha have to say We've built an inclusive and supportive culture, so that you can pursue your professional goals without compromising on what matters most. Hear what Tammeka has to say We are making our products affordable and available to more people around the world through responsible pricing, strategic access programmes and partnerships. We are committed to change the trajectory of high burden diseases in lower-income countries with a focus on prevention and treatment of infectious diseases. We're committed to work towards a net zero, nature positive, healthier planet, with ambitious goals set for 2030 and 2045. Our work supports the health of all kinds of people. To meet our diverse patients' needs better, we need diversity in our clinical trials and to support our own people to thrive as part of an inclusive team. Our culture guides our people to do the right thing and act on any concerns they have. Ensuring the quality, safety and reliable supply of our products is critical to our purpose of uniting science, talent and technology to get ahead of disease together. We announced our full year and fourth quarter 2024 results on Wednesday 5 February 

Continue  to Company
                    

 This is our global website, intended for visitors seeking information on GSK's worldwide business.  Our market sites can be reached by visiting our location selector.     © 2001-2024 GSK plc. All rights reserved. Trade marks are owned by or licensed to the GSK group of companies. GSK plc. Registered in England and Wales No. 3888792. Registered office: 79 New Oxford Street, London. United Kingdom. WC1A 1DG",https://en.wikipedia.org/wiki/GSK_plc,,,,,,,,,Error in JSON Conversion.,Brand,False,,"GSK is a biopharma company that focuses on research and development in specific therapeutic areas. The website text does not mention F&B, manufacturing, or distribution of nutraceuticals or probiotics."
